Ic (@Vce=1.5V) = {0.170mA, 0.3653mA, 0.7346mA, 1.391mA, 2.528mA, 
4.373mA, 7.044mA, 10.49mA, 14.56mA, 19.11mA, 23.72mA, 27.26mA,
30.26mA, 33.18mA}

H21 vs. freq
Point prm/cv                      freq                  H21_dB.m
  318  36/ 3  3.70000000000000000E+010  5.77260397651801240E+000
  319  37/ 3  3.80000000000000000E+010  5.54366509238181320E+000
  320  38/ 3  3.90000000000000000E+010  5.35819955122181390E+000
  321  39/ 3  4.00000000000000000E+010  5.39411736937316280E+000
  322  40/ 3  4.10000000000000000E+010  5.04626874319989230E+000
  323  41/ 3  4.20000000000000000E+010  4.81539364224005870E+000
  324  42/ 3  4.30000000000000000E+010  4.62904636833407680E+000
  325  43/ 3  4.40000000000000000E+010  4.43733550760060690E+000
  326  44/ 3  4.50000000000000000E+010  4.38032477448321430E+000
  327  45/ 3  4.60000000000000000E+010  4.13478996989676070E+000
  328  46/ 3  4.70000000000000000E+010  4.60293266097980420E+000
  329  47/ 3  4.80000000000000000E+010  3.13758254380956240E+000
  330  48/ 3  4.90000000000000000E+010  1.99849331849597920E+000
  331  49/ 3  5.00000000000000000E+010  1.20242925525524110E+000
  332  50/ 3  5.10000000000000000E+010  6.95260752879834460E-001
  333  51/ 3  5.20000000000000000E+010  1.62091180230853230E+000
  334  52/ 3  5.30000000000000000E+010  3.30718086604927960E+000
  335  53/ 3  5.40000000000000000E+010  2.66393073455012620E+000
  336  54/ 3  5.50000000000000000E+010  6.07537440150827450E-001
  337  55/ 3  5.60000000000000000E+010  2.67315640949110380E+000
  338  56/ 3  5.70000000000000000E+010  2.91786355157498090E+000
  339  57/ 3  5.80000000000000000E+010  2.53354075719016160E+000
  340  58/ 3  5.90000000000000000E+010  2.78281171504115980E+000
  341  59/ 3  6.00000000000000000E+010  2.26942285951353860E+000
  342  60/ 3  6.10000000000000000E+010  2.70265028849977270E+000
  343  61/ 3  6.20000000000000000E+010  2.49452033023650930E+000
  344  62/ 3  6.30000000000000000E+010  2.33529167731200630E+000
  345  63/ 3  6.40000000000000000E+010  2.09478809907332230E+000
  346  64/ 3  6.50000000000000000E+010  2.28286835328764020E+000
  347  65/ 3  6.60000000000000000E+010  1.90961790868564000E+000
  348  66/ 3  6.70000000000000000E+010  1.77835443336104500E+000
  349  67/ 3  6.80000000000000000E+010  1.92775717923127890E+000
  350  68/ 3  6.90000000000000000E+010  1.54733410801208480E+000
  351  69/ 3  7.00000000000000000E+010  2.02416183548019020E+000
  352  70/ 3  7.10000000000000000E+010  1.65843398445629340E+000
  353  71/ 3  7.20000000000000000E+010  1.71578775973821760E+000
  354  72/ 3  7.30000000000000000E+010  1.33153328117214810E+000
  355  73/ 3  7.40000000000000000E+010  1.44033348797605140E+000
  356  74/ 3  7.50000000000000000E+010  1.39645838936547380E+000
  357  75/ 3  7.60000000000000000E+010  1.39237224395766000E+000
  358  76/ 3  7.70000000000000000E+010  1.13487171866705610E+000
  359  77/ 3  7.80000000000000000E+010  1.04662046453710200E+000
  360  78/ 3  7.90000000000000000E+010  1.25753547974848150E+000
  361  79/ 3  8.00000000000000000E+010  1.25615462961816580E+000
  362  80/ 3  8.10000000000000000E+010  8.51508659294860360E-002
  363  81/ 3  8.20000000000000000E+010  2.15963777051683010E-001
  364  82/ 3  8.30000000000000000E+010  8.56914727025469000E-001
  365  83/ 3  8.40000000000000000E+010  9.95636621634362730E-001
  366  84/ 3  8.50000000000000000E+010  2.56661244511904090E-001
  367  85/ 3  8.60000000000000000E+010  5.85060175164439310E-001
  368  86/ 3  8.70000000000000000E+010  2.05134478797522950E-001
  369  87/ 3  8.80000000000000000E+010  1.46743902487503600E-001
  370  88/ 3  8.90000000000000000E+010 -7.09921159871022750E-003
  371  89/ 3  9.00000000000000000E+010 -2.34048626741766710E-001
  372  90/ 3  9.10000000000000000E+010  6.01320872619129700E-001
  373  91/ 3  9.20000000000000000E+010 -4.27717519199695000E-002
  374  92/ 3  9.30000000000000000E+010 -5.00396023334627740E-001
  375  93/ 3  9.40000000000000000E+010 -5.77417604218577910E-001
  376   0/ 4  1.00000000000000000E+009  4.06761107692947450E+001
  377   1/ 4  2.00000000000000000E+009  3.47306699533953560E+001
  378   2/ 4  3.00000000000000000E+009  3.12509647837108560E+001
  379   3/ 4  4.00000000000000000E+009  2.87180400738980520E+001
  380   4/ 4  5.00000000000000000E+009  2.67730817372239440E+001
  381   5/ 4  6.00000000000000000E+009  2.52018460080431770E+001
  382   6/ 4  7.00000000000000000E+009  2.38436223360473140E+001
  383   7/ 4  8.00000000000000000E+009  2.26854165122321660E+001
  384   8/ 4  9.00000000000000000E+009  2.17195062660848350E+001
  385   9/ 4  1.00000000000000000E+010  2.07099824455837300E+001
